adjustment,trans,variable,section,date,value
brut,ind,ptot,b,2022-07-01,98.104425676573
brut,ind,ptot,b,2022-10-01,96.816847690367
brut,ind,ptot,b,2023-01-01,97.0140415208063
brut,ind,ptot,b,2023-04-01,92.5419286890364
brut,ind,ptot,b,2023-07-01,96.7302303051262
brut,ind,ptot,b,2023-10-01,96.8111463982763
brut,ind,ptot,b,2024-01-01,96.9161344028065
brut,ind,ptot,c,1999-01-01,
brut,ind,ptot,c,1999-04-01,
brut,ind,ptot,c,1999-07-01,
brut,ind,ptot,c,1999-10-01,
brut,ind,ptot,c,2000-01-01,
brut,ind,ptot,c,2000-04-01,
brut,ind,ptot,c,2000-07-01,
brut,ind,ptot,c,2000-10-01,
brut,ind,ptot,c,2001-01-01,
brut,ind,ptot,c,2001-04-01,
brut,ind,ptot,c,2001-07-01,
brut,ind,ptot,c,2001-10-01,
brut,ind,ptot,c,2002-01-01,
brut,ind,ptot,c,2002-04-01,
brut,ind,ptot,c,2002-07-01,
brut,ind,ptot,c,2002-10-01,
brut,ind,ptot,c,2003-01-01,
brut,ind,ptot,c,2003-04-01,
brut,ind,ptot,c,2003-07-01,
brut,ind,ptot,c,2003-10-01,
brut,ind,ptot,c,2004-01-01,76.6826970480951
brut,ind,ptot,c,2004-04-01,82.763033410838
brut,ind,ptot,c,2004-07-01,78.8088444138719
brut,ind,ptot,c,2004-10-01,82.4744787188201
brut,ind,ptot,c,2005-01-01,74.9254667235978
brut,ind,ptot,c,2005-04-01,82.5047415649496
brut,ind,ptot,c,2005-07-01,80.6850836469595
brut,ind,ptot,c,2005-10-01,85.764527549788
brut,ind,ptot,c,2006-01-01,80.896604499373
brut,ind,ptot,c,2006-04-01,86.5843719371971
brut,ind,ptot,c,2006-07-01,87.0887563691701
brut,ind,ptot,c,2006-10-01,95.0556562123721
brut,ind,ptot,c,2007-01-01,88.8331227845145
brut,ind,ptot,c,2007-04-01,97.515961428498
brut,ind,ptot,c,2007-07-01,98.1625178007405
brut,ind,ptot,c,2007-10-01,101.521110340584
brut,ind,ptot,c,2008-01-01,92.1663515331429
brut,ind,ptot,c,2008-04-01,100.21585518273
brut,ind,ptot,c,2008-07-01,97.5470039826717
brut,ind,ptot,c,2008-10-01,94.161053930854
brut,ind,ptot,c,2009-01-01,83.694019083478
brut,ind,ptot,c,2009-04-01,86.9028941758642
brut,ind,ptot,c,2009-07-01,90.021562003159
brut,ind,ptot,c,2009-10-01,94.1164366908906
brut,ind,ptot,c,2010-01-01,90.333010081134
brut,ind,ptot,c,2010-04-01,94.6517828054515
brut,ind,ptot,c,2010-07-01,96.1484373905755
brut,ind,ptot,c,2010-10-01,99.1902986261355
brut,ind,ptot,c,2011-01-01,94.0006109382431
brut,ind,ptot,c,2011-04-01,97.8805543933481
brut,ind,ptot,c,2011-07-01,96.6901178993855
brut,ind,ptot,c,2011-10-01,102.208230341211
brut,ind,ptot,c,2012-01-01,94.6510091138912
brut,ind,ptot,c,2012-04-01,98.5487265911901
brut,ind,ptot,c,2012-07-01,96.4866432700063
brut,ind,ptot,c,2012-10-01,103.766870851891
brut,ind,ptot,c,2013-01-01,92.9049106568413
brut,ind,ptot,c,2013-04-01,99.647075722924
